2024-11-25 20:00:26.920 | WARNING  | chatchat.server.utils:get_config_models:138 - auto_detect_model needs xinference-client installed. Please try "pip install xinference-client". 
2024-11-25 20:00:26.920 | WARNING  | chatchat.server.utils:get_config_models:138 - auto_detect_model needs xinference-client installed. Please try "pip install xinference-client". 
2024-11-25 20:00:26.920 | WARNING  | chatchat.server.utils:get_config_models:138 - auto_detect_model needs xinference-client installed. Please try "pip install xinference-client". 
2024-11-25 20:00:26.920 | WARNING  | chatchat.server.utils:get_config_models:138 - auto_detect_model needs xinference-client installed. Please try "pip install xinference-client". 
2024-11-25 20:00:26.920 | WARNING  | chatchat.server.utils:get_config_models:138 - auto_detect_model needs xinference-client installed. Please try "pip install xinference-client". 
2024-11-25 20:00:26.920 | WARNING  | chatchat.server.utils:get_config_models:138 - auto_detect_model needs xinference-client installed. Please try "pip install xinference-client". 
2024-11-25 20:00:26.920 | WARNING  | chatchat.server.utils:get_config_models:138 - auto_detect_model needs xinference-client installed. Please try "pip install xinference-client". 
2024-11-25 20:00:26.921 | WARNING  | chatchat.server.utils:get_default_embedding:193 - default embedding model bge-m3 is not found in available embeddings, using bge-large-zh-v1.5 instead
2024-11-25 20:00:26.921 | WARNING  | chatchat.server.utils:get_default_embedding:193 - default embedding model bge-m3 is not found in available embeddings, using bge-large-zh-v1.5 instead
2024-11-25 20:00:26.921 | WARNING  | chatchat.server.utils:get_default_embedding:193 - default embedding model bge-m3 is not found in available embeddings, using bge-large-zh-v1.5 instead
2024-11-25 20:00:26.921 | WARNING  | chatchat.server.utils:get_default_embedding:193 - default embedding model bge-m3 is not found in available embeddings, using bge-large-zh-v1.5 instead
2024-11-25 20:00:26.921 | WARNING  | chatchat.server.utils:get_default_embedding:193 - default embedding model bge-m3 is not found in available embeddings, using bge-large-zh-v1.5 instead
2024-11-25 20:00:26.921 | WARNING  | chatchat.server.utils:get_default_embedding:193 - default embedding model bge-m3 is not found in available embeddings, using bge-large-zh-v1.5 instead
2024-11-25 20:00:26.921 | WARNING  | chatchat.server.utils:get_default_embedding:193 - default embedding model bge-m3 is not found in available embeddings, using bge-large-zh-v1.5 instead
2024-11-25 20:00:27.475 | INFO     | chatchat.startup:start_main_server:257 - 正在启动服务：
2024-11-25 20:00:27.475 | INFO     | chatchat.startup:start_main_server:257 - 正在启动服务：
2024-11-25 20:00:27.475 | INFO     | chatchat.startup:start_main_server:257 - 正在启动服务：
2024-11-25 20:00:27.475 | INFO     | chatchat.startup:start_main_server:257 - 正在启动服务：
2024-11-25 20:00:27.475 | INFO     | chatchat.startup:start_main_server:257 - 正在启动服务：
2024-11-25 20:00:27.475 | INFO     | chatchat.startup:start_main_server:257 - 正在启动服务：
2024-11-25 20:00:27.475 | INFO     | chatchat.startup:start_main_server:257 - 正在启动服务：
2024-11-25 20:00:27.475 | INFO     | chatchat.startup:start_main_server:257 - 正在启动服务：
2024-11-25 20:00:27.478 | INFO     | chatchat.startup:start_main_server:258 - 如需查看 llm_api 日志，请前往 E:\Users\jhc\anaconda3\envs\py3.81\Lib\site-packages\chatchat\data\logs
2024-11-25 20:00:27.478 | INFO     | chatchat.startup:start_main_server:258 - 如需查看 llm_api 日志，请前往 E:\Users\jhc\anaconda3\envs\py3.81\Lib\site-packages\chatchat\data\logs
2024-11-25 20:00:27.478 | INFO     | chatchat.startup:start_main_server:258 - 如需查看 llm_api 日志，请前往 E:\Users\jhc\anaconda3\envs\py3.81\Lib\site-packages\chatchat\data\logs
2024-11-25 20:00:27.478 | INFO     | chatchat.startup:start_main_server:258 - 如需查看 llm_api 日志，请前往 E:\Users\jhc\anaconda3\envs\py3.81\Lib\site-packages\chatchat\data\logs
2024-11-25 20:00:27.478 | INFO     | chatchat.startup:start_main_server:258 - 如需查看 llm_api 日志，请前往 E:\Users\jhc\anaconda3\envs\py3.81\Lib\site-packages\chatchat\data\logs
2024-11-25 20:00:27.478 | INFO     | chatchat.startup:start_main_server:258 - 如需查看 llm_api 日志，请前往 E:\Users\jhc\anaconda3\envs\py3.81\Lib\site-packages\chatchat\data\logs
2024-11-25 20:00:27.478 | INFO     | chatchat.startup:start_main_server:258 - 如需查看 llm_api 日志，请前往 E:\Users\jhc\anaconda3\envs\py3.81\Lib\site-packages\chatchat\data\logs
2024-11-25 20:00:27.478 | INFO     | chatchat.startup:start_main_server:258 - 如需查看 llm_api 日志，请前往 E:\Users\jhc\anaconda3\envs\py3.81\Lib\site-packages\chatchat\data\logs
